Ion,Adsorbent,,,Operating temperature(K),Initial pH,Initial Conc. (ppm),Contact time(min),Adsorbent dosage(g/mL),Solution,Removal efficiency(%),Research Paper
,Material - 1,Material - 2,Material - 3,,,,,,,,
Ni,Nano Bentonite,,,298,6,50,5.4,0.0005,Aqueous,30.17,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,7.45,0.0005,Aqueous,35.36,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,11.67,0.0005,Aqueous,44.82,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,14.39,0.0005,Aqueous,49.87,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,17.52,0.0005,Aqueous,54.68,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,20.65,0.0005,Aqueous,58.15,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,23.77,0.0005,Aqueous,59.48,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,26.9,0.0005,Aqueous,60.78,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,30.02,0.0005,Aqueous,61.88,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,33.14,0.0005,Aqueous,62.83,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,36.27,0.0005,Aqueous,63.89,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,39.39,0.0005,Aqueous,65.25,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,42.51,0.0005,Aqueous,66.6,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,45.64,0.0005,Aqueous,68.22,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,48.76,0.0005,Aqueous,69.91,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,51.89,0.0005,Aqueous,71.58,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,55.01,0.0005,Aqueous,73.23,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,58.14,0.0005,Aqueous,74.74,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,61.26,0.0005,Aqueous,76.01,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,64.38,0.0005,Aqueous,77.09,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,67.51,0.0005,Aqueous,78.02,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,70.63,0.0005,Aqueous,78.85,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,73.75,0.0005,Aqueous,79.71,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,76.88,0.0005,Aqueous,80.71,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,80.12,0.0005,Aqueous,82.5,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,83.13,0.0005,Aqueous,82.9,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,86.25,0.0005,Aqueous,84.03,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,89.37,0.0005,Aqueous,85.18,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,92.5,0.0005,Aqueous,86.31,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,95.62,0.0005,Aqueous,87.45,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,98.74,0.0005,Aqueous,88.58,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,101.87,0.0005,Aqueous,89.72,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,104.99,0.0005,Aqueous,90.86,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,108.12,0.0005,Aqueous,91.99,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,111.13,0.0005,Aqueous,93.09,https://pubmed.ncbi.nlm.nih.gov/33681500/
Ni,Nano Bentonite,,,298,6,50,114.34,0.0005,Aqueous,94.27,https://pubmed.ncbi.nlm.nih.gov/33681500/
